aalii,aa|0|aah|0|ooh|0
automatonlike,machinelike|0|robotic|0|robotlike|0
automobile,car|0|machine|0|motorcar|0|vehivle|0|van|0|auto|0
automobilist,motorist|0|driver|0
automotive,self-propelled|0|self-propelling|0|moving|0
autonomous,independent|0|self-directed|0|self-governing|0|self-reliant|0|sovereign|0|free|0|freeofcharge|0|clear|0|unpaid|0|unrestrained|0|atliberty|0
autonomy,liberty|0|self-direction|0|self-reliance|0|self-sufficiency|0|independence|0
autophyte,autotroph|0
autophytic,autotrophic|0
autopsy,necropsy|0|pm|0|postmortem|0|post-mortem|0
autosuggestion,self-suggestion|0|hypnosis|0
autotomise,autotomize|0|shed|0
autotype,autotypy|0|facsimile|0|copy|0
autumn,fall|0|season|0
auxiliary,accessory|0|subsidiary|0|supplemental|0|supplementary|0|helping|0|assisting|0|supportive|0|aiding|0|abetting|0|assistant|0
avail,help|0|service|0|supply|0|assistance|0|advantage|0|function|0|work|0|servicing|0|utility|0|overhaul|0|exploit|0
availability,availableness|0|handiness|0|accessibility|0
availableness,handiness|0|accessibility|0
avarice,avariciousness|0|avaritia|0|covetousness|0|cupidity|0|greed|0|rapacity|0|acquisitiveness|0|craving|0|desire|0
avaricious,covetous|0|grabby|0|grasping|0|greedy|0|prehensile|0|acquisitive|0|mercenary|0|selfish|0
avariciously,covetously|0|greedily|0
avariciousness,covetousness|0|cupidity|0
avaritia,covetousness|0|greed|0|rapacity|0|avarice|0
avatar,embodiment|0|incarnation|0
avellan,avellane|0|hazelnut|0
avenge,retaliate|0|revenge|0|punish|0
avenger,retaliator|0|attacker|0
aventail,camail|0|ventail|0
aventurine,sunstone|0|quartz|0
avenue,boulevard|0
aver,avow|0|swan|0|swear|0|verify|0|say|0
average,intermediate|0|mean|0|median|0|medium|0|modal|0|norm|0|ordinary|0|standard|0|customary|0|criterion|0|guideline|0|morals|0|sample|0|principles|0|calculate|0
averageness,mediocrity|0|ordinariness|0
averse,indisposed|0|loath|0|loth|0|disinclined|0|unwilling|0|reluctant|0|resistant|0|opposed|0|antipathetic|0
aversion,averting|0|distaste|0|dislike|0|abhorrence|0|repugnance|0|antipathy|0|antagonism|0|animosity|0|avoidance|0
avert,avoid|0|debar|0|deflect|0|forefend|0|forfend|0|obviate|0|turn|0
avertable,avertible|0|avoidable|0|evitable|0
avertible,avoidable|0|evitable|0|avertable|0
avianise,avianize|0|change|0
aviary,volary|0|building|0
aviate,fly|0|pilot|0
aviation,air|0
aviator,flier|0|flyer|0|aeronaut|0
aviatress,aviatrix|0|airwoman|0
avid,devouring|0|esurient|0|greedy|0|zealous|0
avidity,avidness|0|eagerness|0|keenness|0
avidness,eagerness|0|keenness|0|avidity|0
avifaunal,avifaunistic|0|fauna|0
avitaminosis,hypovitaminosis|0
avocado,avo|0|aguacate|0
avocation,by-line|0|hobby|0|pursuit|0|sideline|0
avoid,annul|0|debar|0|deflect|0|forefend|0|forfend|0|obviate|0|shun|0|keepawayfrom|0|keepoff|0|leavealone|0|keep|0|steerclearof|0|refrainfrom|0|abstain|0
avoidable,evitable|0|avertable|0
avoidance,dodging|0|shunning|0
avoirdupois,blubber|0|fat|0|fatness|0|weight|0
avouch,avow|0|admit|0
avouchment,avowal|0|affirmation|0
avow,affirm|0|swan|0|swear|0|verify|0|admit|0
avowed,professed|0|declared|0|affirmed|0|sworn|0|verified|0|admitted|0
avowedly,confessedly|0|professedly|0|true|0|admittedly|0
avower,declarer|0|affirmer|0
await,expect|0|look|0|wait|0
awaited,hoped-for|0|expected|0
awake,awaken|0|wake|0|waken|0|wakeup|0|getup|0|rouse|0|bestironeself|0|arouse|0
awaken,rouse|0|wake|0|waken|0|awake|0|arouse|0
awakening,wakening|0|arousal|0|arousing|0
award,awarding|0|honor|0|honour|0|laurels|0|present|0|prize|0|grant|0|give|0|confer|0|bestow|0|accord|0|accolade|0|laurel|0
aware,cognisant|0|cognizant|0|mindful|0|informed|0|apprised|0|knowledgeable|0|knowing|0|posted|0|intheknow|0|alert|0
awareness,cognisance|0|cognizance|0|consciousness|0|knowingness|0|sentience|0
awash,flooded|0|inundated|0|overflowing|0
away,by|0|forth|0|off|0|out|0|outside|0|gone|0|absent|0|elsewhere|0|departed|0
aweary,weary|0|tired|0
awed,awestricken|0|awestruck|0|awful|0
aweless,awless|0|disrespectful|0
awesome,awful|0|awing|0|marvelous|0|monumental|0
awestricken,awestruck|0|awed|0
awful,dire|0|direful|0|dread|0|dreaded|0|dreadful|0|fearful|0|fearsome|0|lousy|0
awfully,awful|0|frightfully|0|rottenly|0|terribly|0|verymuch|0|badly|0|extremely|0|greatly|0|remarkably|0
awfulness,dreadfulness|0|horridness|0|terribleness|0
awing,awe-inspiring|0|awful|0|amazing|0
awkward,clumsy|0|cumbersome|0|embarrassing|0|ill-chosen|0|sticky|0|uneasy|0|unenviable|0|ungainly|0|left-handed|0|ham-handed|0|ham-fisted|0|blundering|0|bunglesome|0
awkwardness,clumsiness|0|cumbersomeness|0|gracelessness|0|ineptitude|0|ineptness|0|stiffness|0|unwieldiness|0|carriage|0
awless,disrespectful|0
awned,awn|0|awny|0
awning,sunblind|0|sunshade|0
awol,truant|0|absent|0
awry,cockeyed|0|haywire|0|lopsided|0|skew-whiff|0|wrong|0
axerophthol,a|0
axial,axile|0|stalk|0
axiom,maxim|0|saying|0
axiomatic,axiomatical|0|postulational|0|self-evident|0
axiomatical,postulational|0
axis,bloc|0|alliance|0
axon,axone|0
azathioprine,imuran|0
azedarach,azederach|0|chinaberry|0|pride-of-india|0
azederach,chinaberry|0|pride-of-india|0|azedarach|0
azimuth,az|0|angle|0
azithromycin,zithromax|0
azoimide,hn|0|hydride|0
azotaemia,azotemia|0|uraemia|0|uremia|0
azotemia,uraemia|0|uremia|0|azotaemia|0
azotemic,uraemic|0|uremic|0|pathology|0
azotic,nitric|0|nitrous|0
aztreonam,azactam|0
azure,cerulean|0|lazuline|0|sapphire|0|sky-blue|0
azygos,azygous|0|single|0
babble,babbling|0|blab|0|lallation|0|peach|0|sing|0|talk|0|tattle|0|prattle|0|twaddle|0|jabber|0|gibber|0|chatter|0
babbler,cackler|0|chatterbox|0|chatterer|0|magpie|0|prater|0|spouter|0|oscine|0
babbling,lallation|0
babe,baby|0|infant|0|sister|0|child|0|minor|0|kid|0|youngster|0|toddler|0|descendant|0
babiroussa,babirusa|0|babirussa|0
babirusa,babirussa|0|babiroussa|0
baboo,babu|0|man|0
baby,child|0|cocker|0|coddle|0|cosset|0|infant|0|sister|0|minor|0|kid|0|youngster|0|toddler|0|babe|0|descendant|0|neonate|0
babyhood,infancy|0|immaturity|0
babyminder,minder|0|keeper|0
babysitter,sitter|0|keeper|0
babytalk,motherese|0
baccate,bacciferous|0|berried|0|berrylike|0
bacchanal,bacchanalia|0|bacchant|0|debauch|0|debauchery|0|orgy|0|riot|0|saturnalia|0|drunkenreveler|0|drunkenreveller|0|drunkenrevelry|0
bacchanalia,debauch|0|debauchery|0|orgy|0|riot|0|saturnalia|0|drunkenrevelry|0|bacchanal|0
bacchanalian,bacchanal|0|bacchic|0|carousing|0|orgiastic|0
bacchic,bacchanal|0|carousing|0|orgiastic|0
bacciferous,berried|0|baccate|0
baccy,tobacco|0
bach,bachelor|0|live|0
bachelor,bachelor-at-arms|0|knight|0
bacillar,bacillary|0|bacilliform|0|baculiform|0|rod-shaped|0|eubacteria|0|eubacterium|0
bacillary,bacilliform|0|baculiform|0|rod-shaped|0
bacilliform,baculiform|0|rod-shaped|0|bacillar|0
bacillus,b|0
back,backbone|0|backrest|0|binding|0|cover|0|dorsum|0|rachis|0|rear|0|investin|0|wager|0|beton|0|backmost|0
backbite,bitch|0|complain|0
backbiter,defamer|0|libeler|0|maligner|0|slanderer|0|traducer|0|vilifier|0
backbone,grit|0|gumption|0|guts|0|moxie|0|sand|0|spine|0|back|0|gut|0
backbreaking,grueling|0|gruelling|0|hard|0|heavy|0|laborious|0|operose|0
backchat,banter|0|give-and-take|0|raillery|0
backcloth,backdrop|0|background|0
backdown,climb-down|0|withdrawal|0|retraction|0
backdrop,background|0|backcloth|0
backfire,backlash|0|blowback|0|boomerang|0|recoil|0|miscalculation|0
backflow,backflowing|0
background,desktop|0|downplay|0|ground|0|scope|0|setting|0|history|0|experience|0|qualifications|0|credentials|0|grounding|0|training|0|backcloth|0|qualification|0|credential|0
backhand,backhanded|0|left-slanting|0
backing,backup|0|championship|0|funding|0|mount|0|patronage|0|support|0|help|0|aid|0|assistance|0|succour|0
backlash,rebound|0|recoil|0|repercussion|0|reaction|0|counteraction|0|kickback|0|react|0
backlog,reserve|0|stockpile|0|firewood|0
backmost,hindermost|0|hindmost|0|rearmost|0
backpack,haversack|0|knapsack|0|pack|0|packsack|0|rucksack|0|hike|0
backpacker,packer|0|hiker|0
backpacking,packing|0|carry|0
backsheesh,baksheesh|0|bakshis|0|bakshish|0|gratuity|0|pourboire|0|tip|0
backside,ass|0|behind|0|bottom|0|bum|0|buns|0|butt|0|side|0|bun|0
backslide,lapse|0|slip|0|relapse|0|revert|0
backslider,recidivist|0|reversionist|0
backsliding,lapse|0|lapsing|0|relapse|0|relapsing|0|reversion|0|reverting|0
backspace,backspacer|0
backstage,offstage|0|wing|0
backstair,backstairs|0|furtive|0
backstairs,furtive|0
backstop,catcher|0
backswept,sweptback|0|backward|0
backsword,singlestick|0|stick|0
backtalk,lip|0|mouth|0|sass|0|sassing|0
backup,championship|0|fill-in|0|patronage|0|relief|0|support|0
backward,back|0|backwards|0|feebleminded|0|half-witted|0|rearward|0|rearwards|0|slow-witted|0|bashful|0|shy|0|reticent|0|diffident|0|retiring|0|coy|0|backswept|0
backwardness,retardation|0|slowness|0|subnormality|0
backwards,back|0|rearward|0|rearwards|0|inreverse|0|regressively|0|retrogressively|0|backward|0
backwash,race|0|slipstream|0|wake|0|wash|0|wave|0
backwoods,boondocks|0|hinterland|0
backwoodsman,frontiersman|0|pioneer|0
bacteremia,bacteriaemia|0|bacteriemia|0
bacteria,bacterium|0|microorganisms|0
bacteriacide,bactericide|0|chemical|0
bacteriaemia,bacteriemia|0|bacteremia|0
bactericidal,disinfectant|0|germicidal|0
bacterioid,bacterioidal|0|bacteroid|0|bacteroidal|0
bacterioidal,bacteroid|0|bacteroidal|0|bacterioid|0
bacteriologic,bacteriological|0|medicine|0
bacteriophage,phage|0
bacteriophagic,bacteriophagous|0|virus|0
bacterise,bacterize|0|subject|0
bacteroid,bacteroidal|0|bacterioidal|0
baculiform,rod-shaped|0|bacillar|0
baddie,villain|0|character|0
badger,beleaguer|0|bug|0|pester|0|tease|0
badgerer,heckler|0|troublemaker|0
badgering,bedevilment|0|torment|0|worrying|0
badly,bad|0|disadvantageously|0|gravely|0|ill|0|poorly|0|seriously|0|severely|0|defectively|0|insufficiently|0|inadequately|0|unsatisfactorily|0|carelessly|0
badmouth,malign|0|traduce|0
badness,bad|0|mischievousness|0|naughtiness|0|severeness|0|severity|0|intensity|0
baffle,beat|0|bewilder|0|dumbfound|0|flummox|0|get|0|regulate|0|plate|0
baffled,befuddled|0|bemused|0|bewildered|0|confounded|0|confused|0|lost|0|mazed|0
bafflement,befuddlement|0|bemusement|0|bewilderment|0|mystification|0|obfuscation|0|puzzlement|0
baffling,elusive|0|knotty|0|problematic|0|problematical|0|tough|0
bagascosis,bagassosis|0|alveolitis|0
bagatelle,fluff|0|frippery|0|frivolity|0
bagel,beigel|0
bagful,bag|0|containerful|0
baggage,luggage|0|thing|0|object|0|part|0|belongings|0|effects|0|tool|0|item|0|stuff|0|factor|0|case|0
bagger,boxer|0|packer|0
bagging,sacking|0|fabric|0
baggy,loose-fitting|0|sloppy|0|loose|0
bagman,roadman|0|salesman|0
bagnio,bathhouse|0|bawdyhouse|0|bordello|0|brothel|0|cathouse|0|whorehouse|0|house|0
bagpiper,piper|0|musician|0
baguet,baguette|0
baht,tical|0|ticals|0
bail,bond|0
bailiwick,discipline|0|field|0|study|0|subject|0
baisa,baiza|0
bait,cod|0|come-on|0|decoy|0|hook|0|lure|0|rag|0|sweetener|0|codliveroil|0
bake,broil|0|heat|0);
bakeapple,cloudberry|0|salmonberry|0
baked,parched|0|scorched|0|sunbaked|0|burned|0
bakehouse,bakery|0|bakeshop|0
bakery,bakeshop|0|bakehouse|0
baksheesh,bakshis|0|bakshish|0|gratuity|0|pourboire|0|tip|0|backsheesh|0
bakshis,bakshish|0|gratuity|0|pourboire|0|tip|0|backsheesh|0
bakshish,gratuity|0|pourboire|0|tip|0|backsheesh|0
balance,correspondence|0|counterbalance|0|counterpoise|0|counterweight|0|equaliser|0|equalizer|0|symmetricalness|0|weigh|0|estimate|0|ponder|0|consider|0|deliberate|0|assess|0|equilibrate|0
balancer,halter|0|haltere|0
balancing,reconciliation|0|equalization|0
balata,beefwood|0
bald,bald-headed|0|bald-pated|0|barefaced|0|denudate|0|denuded|0|bare|0
balderdash,fiddle-faddle|0|piffle|0|nonsense|0
baldhead,baldpate|0|baldy|0
baldness,phalacrosis|0|hairlessness|0
baldpate,baldy|0
baldric,baldrick|0|belt|0
baleen,whalebone|0|horn|0
balefire,bonfire|0|fire|0
baleful,forbidding|0|menacing|0|minacious|0|minatory|0|ominous|0|sinister|0|threatening|0
balefulness,maleficence|0|mischief|0
balibago,mahagua|0|mahoe|0|majagua|0|purau|0
balk,baulk|0|check|0|deterrent|0|handicap|0|hinderance|0|hindrance|0|rafter|0|area|0
balker,baulker|0|noncompliant|0
balking,balky|0|intractable|0
balkline,baulk-line|0|line|0
ball,ballock|0|bollock|0|egg|0|nut|0|orchis|0|testicle|0|testis|0|ballgame|0
ballad,lay|0
balladeer,crooner|0|singer|0
ballast,barretter|0
ballerina,danseuse|0
ballista,bricole|0|catapult|0|mangonel|0|onager|0|trebuchet|0|arbalest|0
ballistocardiograph,cardiograph|0
ballock,bollock|0|egg|0|nut|0|orchis|0|testicle|0|testis|0|ball|0
balloon,billow|0|inflate|0
ballot,balloting|0|vote|0|voting|0|elect|0|poll|0|suffrage|0|opt|0|referendum|0|plebiscite|0
balloting,vote|0|voting|0|ballot|0
ballpark,park|0
ballpen,ballpoint|0|biro|0
ballpoint,biro|0
ballup,cockup|0|mess-up|0
bally,blinking|0|bloody|0|blooming|0|crashing|0|flaming|0|fucking|0
ballyhoo,hoopla|0|hype|0|plug|0
ballyrag,browbeat|0|bully|0|bullyrag|0|hector|0|strong-arm|0
balm,ointment|0|salve|0|unction|0|unguent|0
balmily,daftly|0|dottily|0|nuttily|0|wackily|0
balminess,softness|0
balmy,barmy|0|bats|0|batty|0|bonkers|0|buggy|0|mild|0|soft|0
baloney,bilgewater|0|boloney|0|bosh|0|drool|0|humbug|0|taradiddle|0|tarradiddle|0
balsamic,balsamy|0|oleoresin|0
balusters,balustrade|0|banister|0|bannister|0|handrail|0|balustrades|0|banisters|0|bannisters|0|handrails|0|supports|0
balustrade,banister|0|bannister|0|handrail|0|balusters|0|baluster|0
bambino,bam|0|bang|0|blast|0|clap|0|eruption|0|toddler|0|tot|0
bamboozle,hoodwink|0|snow|0
banal,ban|0|banning|0|censor|0|forbiddance|0|forbidding|0|prohibition|0|proscription|0|trite|0|hackneyed|0|stereotyped|0|clichвђљd|0|stereotypical|0|commo|0|commonplace|0
banality,bromide|0|cliche|0|commonplace|0|platitude|0
band,banding|0|circle|0|isthmus|0|ring|0|stria|0|striation|0|stripe|0|strip|0|ribbon|0|belt|0|bandeau|0|fillet|0|tie|0|attach|0|company|0|troop|0|platoon|0|corps|0|group|0|body|0
bandage,bind|0|patch|0|dressing|0|dress|0
bandaged,bound|0|treated|0|dressed|0
bandaging,binding|0|dressing|0
bandana,bandanna|0|handkerchief|0
bandeau,bra|0|brassiere|0
bandelet,bandelette|0|bandlet|0
bandelette,bandlet|0|annulet|0
banding,stria|0|striation|0|stripe|0
bandit,brigand|0|thief|0
bandoleer,bandolier|0
bandstand,stand|0|platform|0
bandy,bandy-legged|0|bowed|0|bowleg|0|bowlegged|0
bandyleg,bowleg|0
bane,curse|0|nemesis|0|scourge|0
baneberry,cohosh|0
baneful,baleful|0|deadly|0|pernicious|0|pestilent|0
banefully,perniciously|0
bang,bam|0|blast|0|fringe|0|hit|0|smash|0|smasher|0|strike|0|eruption|0|boot|0
banger,cracker|0|firecracker|0
banging,battering|0|humongous|0|thumping|0|walloping|0|whopping|0|fight|0
bangle,bauble|0|bracelet|0|fallal|0|gaud|0|gewgaw|0|novelty|0|trinket|0
bangtail,racehorse|0|horse|0
banian,banyan|0|jacket|0
banish,ban|0|bar|0|blackball|0|ostracise|0|ostracize|0|relegate|0|shun|0|exile|0|expatriate|0|deport|0|extradite|0|transport|0|eject|0
banishment,coventry|0|ostracism|0|proscription|0
banister,bannister|0|handrail|0|balustrade|0
bank,camber|0|cant|0|deposit|0|rely|0|swear|0|trust|0|array|0|botanist|0
bankbook,passbook|0|record|0
banknote,bill|0|greenback|0|note|0
bankroll,roll|0|funds|0|fund|0
bankrupt,belly-up|0|break|0|insolvent|0|ruin|0|smash|0
bankruptcy,failure|0|insolvency|0
banned,prohibited|0|illegal|0
banner,standard|0|streamer|0|flag|0|pennant|0|ensign|0|burgee|0|gonfalon|0
banning,ban|0|forbiddance|0|forbidding|0
bannister,handrail|0|balustrade|0
banquet,feast|0|junket|0|spread|0|sumptuousrepast|0|meal|0|ceremonialdinner|0|lavishdinner|0|dinner|0
banqueting,feasting|0|eating|0
banshee,banshie|0
bantam,diminutive|0|flyspeck|0|lilliputian|0|midget|0|petite|0|tiny|0
banteng,banting|0|tsine|0
banter,chaff|0|give-and-take|0|jolly|0|josh|0|kid|0|raillery|0|backchat|0|badinage|0|persiflage|0|pleasantry|0
bantering,facetious|0|tongue-in-cheek|0
banteringly,tongue-in-cheek|0
banting,tsine|0
baptise,bap|0|baptize|0|christen|0
baptised,baptized|0
baptistery,baptistry|0|font|0
baptistry,font|0|baptistery|0
baptize,christen|0|baptise|0
baranduki,baronduki|0|barunduki|0|burunduki|0
barb,dig|0|gibe|0|jibe|0|shaft|0|shot|0|slam|0|digin|0
barbacan,barbican|0|tower|0
barbarian,boor|0|churl|0|goth|0|peasant|0|savage|0|tike|0|tyke|0|brute|0|barbaric|0
barbaric,barbarian|0|savage|0|uncivilised|0|uncivilized|0|wild|0
barbarisation,barbarization|0|degradation|0
barbarise,barbarize|0|change|0
barbarism,barbarity|0|brutality|0|savagery|0
barbarity,barbarousness|0|brutality|0|heinousness|0|savagery|0|cruelty|0|inhumanity|0|ruthlessness|0|brutishness|0|barbarism|0
barbarous,brutal|0|cruel|0|fell|0|roughshod|0|savage|0|vicious|0
barbarousness,heinousness|0|atrociousness|0
barbasco,joewood|0
barbate,bearded|0|bewhiskered|0|whiskered|0|whiskery|0
barbecue,barbeque|0|cookout|0
barbecued,grilled|0|cooked|0
barbed,barbellate|0|briary|0|briery|0|bristled|0|bristly|0|burred|0|burry|0
barbel,feeler|0|tentacle|0
barbellate,briary|0|briery|0|bristled|0|bristly|0|burred|0|burry|0
barbital,barbitone|0|diethylmalonylurea|0|veronal|0
barbitone,diethylmalonylurea|0|veronal|0|barbital|0
barcarole,barcarolle|0|song|0
bard,barde|0|caparison|0|decorate|0
barde,caparison|0|bard|0
bare,air|0|denudate|0|denude|0|plain|0|publicise|0|publicize|0|strip|0|naked|0|barren|0|unclothe|0
bareback,barebacked|0|unsaddled|0
bared,bareheaded|0|unclothed|0|denuded|0|publicised|0|publicized|0
barefaced,bodacious|0|brassy|0|brazen|0|brazen-faced|0|insolent|0|unconcealed|0|open|0|undisguised|0|blatant|0|manifest|0|unmitigated|0
barefacedly,shamelessly|0|unashamedly|0
barefoot,barefooted|0|shoeless|0
barefooted,shoeless|0
barely,hardly|0|just|0|scantily|0|scarce|0|scarcely|0|only|0|notquite|0|onlyjust|0
bareness,bleakness|0|desolation|0|nakedness|0|starkness|0|plainness|0
barf,cast|0|cat|0|chuck|0|disgorge|0|puke|0|vomit|0|vomitus|0
bargain,buy|0|deal|0|dicker|0|steal|0|agreement|0|contract|0|understanding|0|arrangement|0|covenant|0|pact|0
bargainer,dealer|0|monger|0|trader|0
barge,flatboat|0|hoy|0|lighter|0
bargee,bargeman|0|lighterman|0
bargeman,lighterman|0|bargee|0
barilla,glasswort|0|kali|0|kelpwort|0|saltwort|0
baring,denudation|0|husking|0|stripping|0|uncovering|0|denuding|0|publicising|0|publicizing|0|unclothing|0
barite,barytes|0
baritone,barytone|0|brass|0
barium,ba|0|metal|0
bark,barque|0|skin|0|strip|0
barkeep,barkeeper|0|barman|0|bartender|0|mixologist|0
barkeeper,barman|0|bartender|0|mixologist|0|barkeep|0
barker,bow-wow|0|doggie|0|doggy|0|pooch|0
barley,barleycorn|0
barm,yeast|0|leaven|0
barman,bartender|0|mixologist|0|barkeep|0
barmy,bats|0|batty|0|bonkers|0|buggy|0|cracked|0|crackers|0
barn,b|0
barnacle,cirriped|0|cirripede|0|cerriped|0
barnstormer,playactor|0|play-actor|0|trouper|0|pilot|0
barometric,barometrical|0
baron,king|0|magnate|0|mogul|0|power|0|tycoon|0
baronage,peerage|0|nobility|0
baronduki,barunduki|0|burunduki|0|baranduki|0
baronet,bart|0
baronetcy,barony|0|rank|0
baronetise,baronetize|0|ennoble|0
baronial,imposing|0|noble|0|stately|0
baroque,baroqueness|0|churrigueresco|0|churrigueresque|0
barosaur,barosaurus|0|sauropod|0
barrack,cheer|0|exhort|0|flout|0|gibe|0|inspire|0|jeer|0|scoff|0|heckle|0
barracking,heckling|0|break|0
barracouta,snoek|0
barrage,battery|0|bombard|0|bombardment|0|onslaught|0|outpouring|0|shelling|0
barrater,barrator|0
barratry,simony|0
barred,barricaded|0|blockaded|0
barrel,barrelful|0|bbl|0|cask|0|drum|0
barreled,barrelled|0
barrelhouse,honky-tonk|0|barroom|0
barren,bare|0|destitute|0|devoid|0|free|0|innocent|0|waste|0|wasteland|0|sterile|0|childless|0|infertile|0|bleak|0
barrenness,fruitlessness|0|aridity|0
barricade,bar|0|barricado|0|block|0|blockade|0|roadblock|0|stop|0|barrier|0
barricaded,blockaded|0|barred|0
barrier,roadblock|0|bar|0|fence|0|railing|0|wall|0|obstacle|0
barring,blackball|0|excluding|0|exclusiveof|0|bar|0|omitting|0|leavingout|0|excepting|0|ejection|0
barroom,bar|0|ginmill|0|saloon|0|taproom|0
barrow,barrowful|0|tumulus|0|wheelbarrow|0|containerful|0
bartender,mixologist|0|barkeep|0
barter,swap|0|swop|0|trade|0
barunduki,burunduki|0|baranduki|0
barye,microbar|0
basal,base|0|primary|0|radical|0|basic|0
base,bag|0|foot|0|foundation|0|fundament|0|groundwork|0|pedestal|0|stand|0|cornerstone|0|establish|0|model|0|imitation|0|design|0|pattern|0|mannequin|0|example|0|replica|0|mould|0|representation|0|alkali|0|support|0
baseboard,mopboard|0|skirtingboard|0|molding|0
baseborn,base|0|humble|0|lowly|0
baseless,groundless|0|idle|0|unfounded|0|unwarranted|0|wild|0
basely,meanly|0|scurvily|0
basement,cellar|0
baseness,contemptibility|0|despicability|0|despicableness|0|sordidness|0
bash,bang|0|belt|0|bonk|0|brawl|0|do|0|knock|0|smash|0
bashful,blate|0|shy|0|retiring|0|embarrassed|0|meek|0|abashed|0|shamefaced|0|backward|0
bashfully,shyly|0|timidly|0
basic,canonic|0|canonical|0|introductory|0|staple|0|fundamental|0|essential|0|key|0|elementary|0|underlying|0|prime|0|basal|0
basically,essentially|0|fundamentally|0
basics,bedrock|0|fundamentals|0|rudiments|0
basilar,basilary|0|bottom|0
basin,basinful|0|lavatory|0|washbasin|0|washbowl|0|washstand|0|watershed|0|containerful|0
basis,base|0|cornerstone|0|footing|0|foundation|0|fundament|0|ground|0|groundwork|0|reason|0|cause|0|goal|0|intention|0|argument|0|justification|0|rationale|0|target|0|grounds|0
bask,enjoy|0|relish|0|savor|0|savour|0
basket,basketful|0|handbasket|0|hoop|0|container|0
basketball,hoops|0|hoop|0
basketeer,cager|0|athlete|0
basketmaker,basketweaver|0|maker|0
basophil,basophile|0|leukocyte|0
bass,basso|0|deep|0
bassarisk,cacomistle|0|cacomixle|0|ringtail|0|cooncat|0
basswood,lime|0|linden|0
bast,phloem|0
bastard,cocksucker|0|dickhead|0|mongrel|0|motherfucker|0|prick|0|shit|0|bastardly|0
bastardisation,bastardization|0|degradation|0
bastardise,bastardize|0|corrupt|0
bastardised,bastardized|0|impure|0
bastardly,mean|0|misbegot|0|misbegotten|0|spurious|0
bastardy,illegitimacy|0
baste,basting|0|batter|0|clobber|0|tack|0|tacking|0
baster,tacker|0|sewer|0
bastinado,falanga|0
basting,tacking|0
bastion,citadel|0
bastioned,fortified|0|protected|0
bastnaesite,bastnasite|0|mineral|0
batch,clutch|0|deal|0|flock|0|hatful|0|heap|0|lot|0|mass|0|quantity|0
bath,bathe|0|bathroom|0|bathtub|0|tub|0|cleanse|0
bather,natator|0|swimmer|0
bathetic,drippy|0|hokey|0|kitschy|0|maudlin|0|mawkish|0|mushy|0|schmaltzy|0
bathing,washup|0|wash|0
batholite,batholith|0|pluton|0
batholith,pluton|0|batholite|0
batholithic,batholitic|0
bathometer,bathymeter|0
bathos,mawkishness|0|conclusion|0
bathroom,can|0|john|0|lav|0|lavatory|0|privy|0|toilet|0|room|0
bathtub,tub|0|bath|0
bathymetric,bathymetrical|0|measurement|0
bathymetry,plumbing|0|measurement|0
bathyscape,bathyscaph|0|bathyscaphe|0
bathyscaph,bathyscaphe|0|bathyscape|0
baton,billy|0|billystick|0|nightstick|0|truncheon|0|wand|0
batrachian,frog|0|salientian|0|toad|0
bats,batty|0|bonkers|0|buggy|0|cracked|0|crackers|0|balmy|0|buggies|0|blinks|0
batsman,batter|0|hitter|0|slugger|0
battalion,multitude|0|pack|0|plurality|0
batten,batting|0|secure|0
batter,buffet|0|clobber|0|dinge|0|hitter|0|slugger|0|beat|0|hit|0|strike|0|clout|0|belabour|0|pound|0|deform|0
battercake,flannel-cake|0|flapcake|0|flapjack|0|griddlecake|0|hotcake|0|pancake|0
battered,beaten-up|0|beat-up|0|abused|0
battery,bombardment|0|shelling|0|assault|0
battle,combat|0|conflict|0|engagement|0|fight|0|struggle|0|action|0|encounter|0|clash|0|attempt|0|belligerent|0|combatant|0
battlefield,battleground|0|field|0
battlefront,front|0
battleful,bellicose|0|combative|0
battleground,field|0
battlement,crenelation|0|crenellation|0
battlemented,castellated|0|castled|0|embattled|0
battler,belligerent|0|combatant|0|fighter|0|scrapper|0
battleship,battlewagon|0
battue,bloodbath|0|bloodletting|0|bloodshed|0
batty,bonkers|0|buggy|0|cracked|0|crackers|0|balmy|0
bauble,fallal|0|gaud|0|gewgaw|0|novelty|0|trinket|0|ornament|0|trifle|0|toy|0|bagatelle|0
baulk,check|0|deterrent|0|handicap|0|hinderance|0|hindrance|0|rafter|0|area|0
baulker,noncompliant|0
bawd,cocotte|0|cyprian|0|harlot|0|prostitute|0|tart|0|whore|0
bawdiness,lewdness|0|obscenity|0|salaciousness|0|salacity|0
bawdry,bawdy|0|obscenity|0
bawdy,off-color|0|ribald|0|lewd|0|obscene|0|taboo|0|vulgar|0|dirty|0|smutty|0
bawdyhouse,bordello|0|brothel|0|cathouse|0|whorehouse|0|bagnio|0
bawl,bellow|0|yawp|0|shout|0|vociferate|0|roar|0|yell|0|trumpet|0
bawler,bellower|0|roarer|0|screamer|0|screecher|0|shouter|0|yeller|0
bawling,wailing|0|crying|0
bayberry,candleberry|0|waxberry|0
bazaar,bazar|0|fair|0
bbq,behavior|0
bdellium,barrel|0|bbl|0|bbs|0|bb|0
beachhead,foothold|0|accomplishment|0
beacon,lighthouse|0|pharos|0|signal|0|sign|0|fire|0|light|0|bonfire|0|flare|0
bead,beading|0|beadwork|0|drop|0|pearl|0|ambition|0|string|0
