aalii,aa|0|aah|0|ooh|0
abrasion,attrition|0|corrasion|0|detrition|0|disintegration|0|excoriation|0|friction|0|grinding|0|rubbing|0|scrape|0|scratch|0|sore|0|ulcer|0|chafe|0|erosion|0|corrosion|0
abrasive,harsh|0|scratchy|0|abradant|0
abrasiveness,harshness|0|scratchiness|0
abreaction,catharsis|0|katharsis|0
abreast,against|0|aligned|0|alongside|0|off|0
abridge,compress|0|condense|0|contract|0|curtail|0|cut|0|diminish|0|epitomize|0|foreshorten|0|lessen|0|reduce|0|retrench|0|shorten|0|abbreviate|0|cutback|0
abridgement,abridgment|0|capsule|0|condensation|0|shortening|0|reduction|0|abbreviation|0|contraction|0|truncation|0
abridger,epitomizer|0|redact|0
abridgment,abstract|0|breviary|0|brief|0|capsule|0|compacting|0|compend|0|compendium|0|compression|0|condensation|0|conspectus|0|contraction|0|curtailment|0|deprivation|0|digest|0|diminution|0|dispossession|0|epitome|0|limitation|0|outline|0|reduction|0|restriction|0|retrenchment|0|shortening|0|summary|0|syllabus|0|synopsis|0|abridgement|0
abroach,aflow|0|a-going|0|broached|0|diffused|0|diffusive|0|flowing|0|running|0|tapped|0
abroad,afield|0|confused|0|dazed|0|expansively|0|extensively|0|forth|0|overseas|0|publicly|0|ubiquitously|0|unrestrainedly|0|widely|0|foreign|0
abrogate,annul|0|cancel|0|disannul|0|invalidate|0|nullify|0|overrule|0|quash|0|repeal|0|rescind|0|revoke|0|vacate|0|void|0
abrogation,annulling|0|annulment|0|cancellation|0|cancelling|0|repeal|0|rescinding|0|rescission|0|revocation|0|voidance|0|voiding|0
abrupt,acclivitous|0|acclivous|0|blunt|0|broken|0|brusk|0|cragged|0|craggy|0|cramped|0|curt|0|disconnected|0|discourteous|0|harsh|0|hasty|0|ill-timed|0|inconsiderate|0|inelegant|0|jagged|0|precipitate|0|precipitous|0|rough|0|rude|0|rugged|0|sharp|0|short|0|steep|0|stiff|0|sudden|0|unannounced|0|unanticipated|0|unceremonious|0|uncomplaisant|0|unconnected|0|unexpected|0|unseasonable|0|quick|0|snappy|0
abruptly,dead|0|short|0|suddenly|0
abruptness,brusqueness|0|curtness|0|gruffness|0|precipitance|0|precipitancy|0|precipitateness|0|shortness|0
abscess,boil|0|fester|0|gathering|0|imposthume|0|pustule|0|sore|0|ulcer|0|carbuncle|0|pimple|0|papule|0
abscond,absquatulate|0|bolt|0|decamp|0|elope|0|escape|0|flee|0|fly|0|hide|0|retreat|0|withdraw|0
abscondment,decampment|0|desertion|0
abseil,rappel|0|descend|0
abseiler,rappeller|0
absence,abstraction|0|default|0|defect|0|deficiency|0|distraction|0|inattention|0|lack|0|musing|0|negation|0|non-appearance|0|non-attendance|0|preoccupation|0|privation|0|revery|0|want|0|non-presence|0|truancy|0|epilepsy|0
absent,absentminded|0|abstracted|0|away|0|dreaming|0|gone|0|inattentive|0|lacking|0|lost|0|missing|0|musing|0|napping|0|preoccupied|0|remove|0|scatty|0|wanting|0|out|0|outside|0|elsewhere|0
absently,absentmindedly|0|abstractedly|0|inattentively|0
